5297280, 4764240, 4764240, 0.899374773468648
8572032, 8576580, 8176596, 0.911344340001177
2227680, 1476300, 1476300, 0.6627073906485671
11501824, 9855622, 9855622, 0.8568747009170024
1782272, 1453760, 1453760, 0.815677966101695
121024, 117852, 106371, 0.8027697068035169
3166464, 2400608, 2400608, 0.7581352574985851
1742784, 1333496, 1333496, 0.7651527670669458
2061696, 1892860, 1892860, 0.9181081982988762
148869, 120834, 119658, 0.797480755773268
8625664, 7696971, 7696971, 0.8923337380171544
1002848, 978928, 913792, 0.8556233052180557
2225664, 1737050, 1731378, 0.7759378237970436
9528000, 9603600, 9329918, 0.9518690771645112
5456368, 4269056, 4269056, 0.7823988411338825
66640, 56420, 56420, 0.8466386554621849
608000, 544640, 544640, 0.8957894736842106
1379404, 1290096, 1232296, 0.8574259464905469
14861952, 15225798, 14647776, 0.9486917529783405
5444608, 5678904, 5201889, 0.8784566325819796
